0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
51   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/blacklight5/jetty/contexts at interval 0
68   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/blacklight5/jetty/contexts/solr.xml
234  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/ubuntu/blacklight5/jetty/webapps/solr.war!/ to /home/ubuntu/blacklight5/jetty/solr-webapp/webapp
3851 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3941 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
4010 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
4010 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/ubuntu/blacklight5/jetty/solr
4012 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/ubuntu/blacklight5/jetty/solr/'
4016 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/contrib/' to classloader
4016 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
4017 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
4017 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
4512 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/ubuntu/blacklight5/jetty/solr/solr.xml
5024 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1833396162
5025 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/ubuntu/blacklight5/jetty/solr/]
5028 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/ubuntu/blacklight5/jetty/solr/lib
5034 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/contrib/' to classloader
5035 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
5035 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
5036 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
5089 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
5090 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: http://
5090 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
5091 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
5091 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
5091 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
5092 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
5092 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
5093 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
5782 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
5784 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
5938 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'blacklight-core' using instanceDir: /home/ubuntu/blacklight5/jetty/solr/blacklight-core
